search_phrase,autocomplete_topic,autocomplete_phrase
sushi,Japanese Food,sushi nutrition
sushi,Japanese Food,sushi types
sushi,Artificial Intelligence,sushi ai software
sushi,Artificial Intelligence,sushi ai research
sushi,Space Exploration,sushi on the iss
sushi,Space Exploration,sushi ingredients for astronauts
hello,Japanese Food,hello kitty japanese food
hello,Japanese Food,hello fresh japanese recipes
hello,Artificial Intelligence,hello world artificial intelligence
hello,Artificial Intelligence,hello chatbot artificial intelligence
hello,Space Exploration,hello venus space program
hello,Space Exploration,hello kitty space mission
food,Japanese Food,japanese food culture
food,Japanese Food,japanese food history
food,Artificial Intelligence,food processing and artificial intelligence
food,Artificial Intelligence,food safety and artificial intelligence
food,Space Exploration,space food
food,Space Exploration,food system for long-duration space missions
japan,Japanese Food,japan cuisine
japan,Japanese Food,japanese cuisine history
japan,Artificial Intelligence,japan artificial intelligence research
japan,Artificial Intelligence,japan society for artificial intelligence
japan,Space Exploration,japan space exploration agency
japan,Space Exploration,japan aerospace exploration agency (jaxa)
